[31/01/2016 | 09:32:13.081939] | {pid= 2464} | {tid=     2448} |  ::  | CASW050D ------------ ENDING Authorize Request --------------
[31/01/2016 | 09:32:13.090344] | {pid= 2464} | {tid=     2448} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.090398] | {pid= 2464} | {tid=     2424} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.090619] | {pid= 2464} | {tid=     2448} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.090683] | {pid= 2464} | {tid=     2424} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.090847] | {pid= 2464} | {tid=     2448} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.090917] | {pid= 2464} | {tid=     2424} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.091076] | {pid= 2464} | {tid=     2448} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.091144] | {pid= 2464} | {tid=     2424} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.091295] | {pid= 2464} | {tid=     2448} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.091381] | {pid= 2464} | {tid=     2424} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.091513] | {pid= 2464} | {tid=     2448} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.091618] | {pid= 2464} | {tid=     2424} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.091730] | {pid= 2464} | {tid=     2448} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.091853] | {pid= 2464} | {tid=     2424} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
